name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Ascension: Apprentice Edition,1403,2013,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Fantasy",Strategy Games,30 minutes,13 and up,12 and up,None,Moderate in-game text - needs crib sheet or paste ups,None,2,Best with 2 players,447,7.23,1.24,28831
Australia,1404,2005,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting","Aviation / Flight, Exploration","Family Games, Strategy Games",6090 minutes,10 and up,10 and up,None,No necessary in-game text,"2005 Japan Boardgame Prize Best Advanced Game Nominee, 2005 Nederlandse Spellenprijs Nominee, 2006 Games Magazine Game of the Year Winner",25,Best with 4 players,1233,6.52,1.26,99678
Axis & Allies Naval Miniatures: War at Sea,1405,2007,"Dice Rolling, Grid Movement","Collectible Components, Dice, Miniatures, Nautical","Customizable Games, Wargames",60 minutes,12 and up,10 and up,"Axis & Allies Naval Miniatures: War at Sea  Fleet Command, Axis & Allies War at Sea: Condition Zebra, Axis & Allies War at Sea: Flank Speed, Axis & Allies War at Sea: Surface Action",Extensive use of text - massive conversion needed to be playable,None,2,Best with 2 players,634,7.00,1.61,153889
Aqudukt,1406,2005,"Dice Rolling, Press Your Luck, Route/Network Building, Tile Placement","City Building, Dice",Family Games,30 minutes,8 and up,10 and up,None,No necessary in-game text,"2006 Japan Boardgame Prize Best Foreign Game for Beginners Nominee, 2006 Kinderspielexperten ""8-to-13-year-olds"" Nominee",24,Best with 4 players,1478,6.45,1.16,78753
War of 1812,1407,1973,"Dice Rolling, Point to Point Movement, Secret Unit Deployment","American Indian Wars, Napoleonic, Wargame",Wargames,90 minutes,12 and up,10 and up,None,No necessary in-game text,None,2,Best with 2 players,547,7.02,1.29,89653
1835,1408,1990,"Auction/Bidding, Route/Network Building, Stock Holding","Economic, Trains",Strategy Games,360 minutes,16 and up,16 and up,1835 Schlesien,Some necessary text - easily memorized or small crib sheet,None,37,(Not best with any number),579,7.00,1.47,57674
Leader 1: Hell of the North,1409,2011,"Modular Board, Simulation","Racing, Sports","Strategy Games, Thematic Games",45 minutes,14 and up,12 and up,None,No necessary in-game text,None,210,Best with 34 players,275,7.89,1.32,83951
HeroQuest Advanced Quest,1410,1990,Role Playing,"Adventure, Exploration, Fantasy, Fighting",Thematic Games,90 minutes,10 and up,8 and up,None,Moderate in-game text - needs crib sheet or paste ups,None,25,Best with 5 players,568,7.19,1.56,71817
Pandemic: Contagion,1411,2014,"Area Control / Area Influence, Hand Management","Card Game, Medical",Family Games,30 minutes,14 and up,10 and up,None,Moderate in-game text - needs crib sheet or paste ups,None,25,Best with 5 players,1071,6.60,1.29,76834
Oh Hell!,1412,1930,Trick-taking,Card Game,Family Games,30 minutes,10 and up,8 and up,None,No necessary in-game text,None,37,Best with 6 players,752,6.77,1.41,61858
Wits & Wagers Party,1413,2012,Betting/Wagering,"Party Game, Trivia",Party Games,25 minutes,8 and up,10 and up,None,Unplayable in another language,"2012/Fall Parents' Choice Fun Stuff Award Winner, 2013 Golden Geek Best Party Board Game Nominee",418,"Best with 56, 9 players",598,6.93,1.19,41026
Sunrise City,1414,2012,"Auction/Bidding, Card Drafting, Tile Placement, Variable Player Powers",City Building,"Family Games, Strategy Games",60 minutes,10 and up,8 and up,"Sunrise City: Bonus Roles and Buildings, Sunrise City: Nights!",Moderate in-game text - needs crib sheet or paste ups,None,24,Best with 34 players,779,6.74,1.40,82345
El Caballero,1415,1998,"Area Control / Area Influence, Tile Placement",Exploration,Strategy Games,90 minutes,13 and up,12 and up,None,No necessary in-game text,1999 Spiel des Jahres Recommended,24,(Not best with any number),1197,6.54,1.43,137579
Frstenfeld,1416,2010,"Commodity Speculation, Hand Management","Economic, Farming, Medieval",Strategy Games,60 minutes,13 and up,8 and up,None,No necessary in-game text,None,25,(Not best with any number),1011,6.58,1.25,72135
The Lord of the Ice Garden,1417,2014,"Action / Movement Programming, Action Point Allowance System, Area Control / Area Influence, Variable Phase Order","Fantasy, Fighting, Medieval, Mythology",Strategy Games,90 minutes,14 and up,14 and up,None,No necessary in-game text,None,14,Best with 34 players,280,8.02,1.43,95584
The Pillars of the Earth: Builders Duel,1418,2009,"Auction/Bidding, Card Drafting","Card Game, Economic, Medieval, Novel-based","Family Games, Strategy Games",45 minutes,10 and up,10 and up,None,Moderate in-game text - needs crib sheet or paste ups,2009 International Gamers Award - General Strategy: Two-players,2,Best with 2 players,982,6.62,1.18,70671
Rummikub,1419,1977,"Set Collection, Tile Placement","Card Game, Number",Family Games,60 minutes,8 and up,6 and up,Original Rummikub Ergnzungs-Set fr 5 und 6 Spieler,No necessary in-game text,1980 Spiel des Jahres Winner,24,Best with 4 players,6517,6.27,1.39,249451
Battlefleet Gothic,1420,1999,"Area Movement, Variable Player Powers","Miniatures, Science Fiction","Thematic Games, Wargames",180 minutes,12 and up,12 and up,"Battlefleet Gothic Armada, Warp Storm",Moderate in-game text - needs crib sheet or paste ups,None,24,Best with 2 players,766,6.87,1.52,95088
En Garde,1421,1993,"Hand Management, Point to Point Movement","Card Game, Sports",Family Games,30 minutes,8 and up,8 and up,None,No necessary in-game text,1993 Fairplay  la carte Winner,2,Best with 2 players,1299,6.51,1.35,118956
Nefarious,1422,2011,"Hand Management, Simultaneous Action Selection","Card Game, Humor, Science Fiction",Family Games,3045 minutes,8 and up,10 and up,None,Some necessary text - easily memorized or small crib sheet,None,26,Best with 4 players,1150,6.57,1.45,122340
Lifeboat,1423,2002,"Hand Management, Partnerships, Player Elimination, Secret Unit Deployment","Bluffing, Card Game, Humor, Nautical",Party Games,60 minutes,13 and up,12 and up,"Lifeboat Expansion #1: Cannibalism, Lifeboat Expansion #2: Liquid Courage, Lifeboat Expansion #3: Weather Deck",Some necessary text - easily memorized or small crib sheet,None,46,Best with 6 players,1686,6.43,1.43,144439
Sentinel Tactics: The Flame of Freedom,1424,2014,"Dice Rolling, Grid Movement, Modular Board, Partnerships","Comic Book / Strip, Miniatures",Thematic Games,45 minutes,13 and up,8 and up,"Sentinel Tactics: Citadel of the Sun, Sentinel Tactics: For Profit, Sentinel Tactics: Freedom Tower, Sentinel Tactics: Mobile Defense Platform",Moderate in-game text - needs crib sheet or paste ups,None,28,Best with 4 players,419,7.29,1.49,99890
HeroClix,1425,2002,"Action Point Allowance System, Dice Rolling, Variable Player Powers","Collectible Components, Comic Book / Strip, Dice, Fighting",Customizable Games,60 minutes,10 and up,10 and up,"Heroclix: Indoor Adventure Kit, Heroclix: Outdoor Adventure Kit, HeroClix: The Hobbit  An Unexpected Journey, HeroClix: The Lord of the Rings",Extensive use of text - massive conversion needed to be playable,"2003 Origins Awards Game of the Year Winner, 2014 Origins Awards Best Miniature Figure Rules Nominee, 2014 Origins Awards Best Miniatures Rules Nominee",2,Best with 2 players,1872,6.47,1.65,195931
Intrigue,1426,1994,"Area Control / Area Influence, Auction/Bidding","Card Game, Negotiation, Renaissance",Strategy Games,45 minutes,12 and up,12 and up,None,No necessary in-game text,None,35,Best with 5 players,2000,6.38,1.64,152008
Dominare,1427,2012,"Action Point Allowance System, Area Control / Area Influence, Card Drafting, Hand Management","Economic, Fantasy, Political, Renaissance",Strategy Games,120 minutes,12 and up,12 and up,Dominare Promo Cards,Extensive use of text - massive conversion needed to be playable,None,26,Best with 4 players,581,6.93,1.68,78550
String Railway,1428,2009,Route/Network Building,"Territory Building, Trains",Family Games,30 minutes,8 and up,8 and up,None,No necessary in-game text,"2013 UK Games Expo Best Abstract Game Winner, 2013 UK Games Expo Best Boardgame Nominee",25,Best with 4 players,1212,6.51,1.23,81996
Triumvirate,1429,2009,"Card Drafting, Trick-taking","Ancient, Bluffing, Card Game, Deduction",Strategy Games,15 minutes,12 and up,10 and up,None,No necessary in-game text,None,2,Best with 2 players,662,6.81,1.15,88169
Canterbury,1430,2013,"Area Control / Area Influence, Tile Placement","City Building, Medieval",Strategy Games,90 minutes,10 and up,10 and up,None,No necessary in-game text,None,24,Best with 4 players,480,7.10,1.23,81789
Richelieu,1431,2003,"Card Drafting, Set Collection",Card Game,Strategy Games,45 minutes,12 and up,10 and up,None,No necessary in-game text,2003 Spiel des Jahres Recommended,2,Best with 2 players,865,6.66,1.18,85916
Micro Mutants: Evolution,1432,2007,"Dice Rolling, Player Elimination, Variable Player Powers","Action / Dexterity, Animals, Children's Game, Fighting",Family Games,30 minutes,10 and up,5 and up,Micro Mutants: Invasion,Moderate in-game text - needs crib sheet or paste ups,None,24,"Best with 2, 4 players",788,6.74,1.34,71046
Field Commander: Alexander,1433,2009,"Area Movement, Dice Rolling","Ancient, Wargame",Wargames,90 minutes,12 and up,14 and up,None,Moderate in-game text - needs crib sheet or paste ups,2009 Charles S. Roberts Best Ancient to Napoleonic Era Board Wargame Nominee,1,Best with 1 players,511,7.09,1.33,122556
Lagoon: Land of Druids,1434,2014,"Grid Movement, Modular Board, Rock-Paper-Scissors, Stock Holding","Adventure, Exploration, Fantasy","Abstract Games, Strategy Games",60 minutes,,12 and up,"Lagoon: Land of Druids - Forest Sentinel / Ancient Sentinel, Lagoon: Land of Druids  Mytreia's Glory / Cosmic Vault",Extensive use of text - massive conversion needed to be playable,"2014 Golden Geek Best Abstract Board Game Nominee, 2014 Golden Geek Best Board Game Artwork & Presentation Nominee",14,Best with 2 players,629,6.92,1.43,106042
Tiny Epic Defenders,1435,2015,"Action Point Allowance System, Area Control / Area Influence, Campaign / Battle Card Driven, Co-operative Play","Fantasy, Medieval",Strategy Games,30 minutes,13 and up,8 and up,Tiny Epic Defenders: Kickstarter Mini-Expansion,Some necessary text - easily memorized or small crib sheet,None,14,(Not best with any number),943,6.65,1.39,114305
Urbion,1436,2012,Co-operative Play,"Card Game, Fantasy","Abstract Games, Family Games",15 minutes,13 and up,10 and up,None,No necessary in-game text,None,12,Best with 1 players,590,6.95,1.19,97094
The Game: Spiel... so lange du kannst!,1437,2015,"Co-operative Play, Hand Management",Card Game,Family Games,20 minutes,8 and up,8 and up,The Game: Spiel ... so lange du kannst!  On Fire Expansion Set,No necessary in-game text,2015 Spiel des Jahres Nominee,15,Best with 3 players,827,6.70,1.36,47202
Dust,1438,2007,"Area Control / Area Influence, Dice Rolling, Point to Point Movement, Simultaneous Action Selection","Miniatures, Science Fiction, Wargame","Thematic Games, Wargames",240 minutes,12 and up,10 and up,None,No necessary in-game text,None,26,"Best with 4, 6 players",1229,6.53,1.41,301271
Fresh Fish,1439,1997,Tile Placement,City Building,Strategy Games,60 minutes,12 and up,12 and up,None,No necessary in-game text,None,25,Best with 4 players,827,6.66,1.51,78326
The Settlers of Canaan,1440,2002,"Hand Management, Set Collection, Trading","Ancient, Civilization, Religious",Family Games,60 minutes,7 and up,8 and up,None,Some necessary text - easily memorized or small crib sheet,None,24,Best with 4 players,1003,6.82,1.56,114802
Liberty: The American Revolution 1775-83,1441,2003,"Action Point Allowance System, Dice Rolling, Secret Unit Deployment","Age of Reason, American Revolutionary War, Wargame",Wargames,180 minutes,12 and up,12 and up,None,Some necessary text - easily memorized or small crib sheet,"2003 Charles S. Roberts Best Pre-World War II Boardgame Nominee, 2003 Charles S. Roberts Best Wargame Graphics Nominee",2,Best with 2 players,414,7.21,1.40,86924
David & Goliath,1442,1998,Trick-taking,Card Game,Family Games,60 minutes,8 and up,8 and up,None,No necessary in-game text,"1998 Fairplay  la carte Winner, 1998 Spiel des Jahres Recommended",36,Best with 4 players,1341,6.46,1.19,87426
Geistesblitz 2.0,1443,2012,Pattern Recognition,"Action / Dexterity, Card Game, Children's Game, Party Game","Family Games, Party Games",30 minutes,8 and up,8 and up,None,No necessary in-game text,"2012 Kinderspielexperten ""8-to-13-year-olds"" Nominee, 2012 Kinderspielexperten ""8-to-13-year-olds"" Winner, 2013 Golden Geek Best Children's Board Game Nominee, 2013 Golden Geek Best Party Board Game Nominee",28,Best with 45 players,633,6.86,1.27,46586
Triassic Terror,1444,2013,"Area Control / Area Influence, Card Drafting","Animals, Prehistoric, Territory Building",,90120 minutes,14 and up,(no votes yet),"Triassic Terror: Limited Edition Predator Tiles, Triassic Terror: Promo Pack",(no votes yet),2014 Games Magazine Best New Strategy Game Winner,26,Best with 4 players,463,7.10,1.27,71289
Municipium,1445,2008,"Area Control / Area Influence, Point to Point Movement, Set Collection",Ancient,Strategy Games,60 minutes,10 and up,10 and up,None,Some necessary text - easily memorized or small crib sheet,None,24,Best with 4 players,668,6.78,1.27,80184
Piata,1446,2013,"Hand Management, Set Collection",Card Game,Family Games,30 minutes,13 and up,8 and up,None,No necessary in-game text,2013 Golden Geek Best 2-Player Board Game Nominee,2,Best with 2 players,512,7.00,1.15,36428
Burma,1447,1999,"Dice Rolling, Hex-and-Counter","Wargame, World War II",Wargames,120 minutes,12 and up,12 and up,None,Unplayable in another language,"1999 Charles S. Roberts Best Wargame Graphics Nominee, 1999 Charles S. Roberts Best World War II Boardgame Nominee, 1999 Charles S. Roberts Best World War II Boardgame Winner",2,(Not best with any number),260,7.87,1.39,77009
Das Motorsportspiel,1448,1995,"Roll / Spin and Move, Simulation","Racing, Real-time, Sports",Family Games,120 minutes,10 and up,10 and up,None,No necessary in-game text,None,212,Best with 6 players,324,7.45,1.47,71943
Deadwood,1449,2011,"Dice Rolling, Worker Placement","American West, City Building","Family Games, Strategy Games",60 minutes,13 and up,8 and up,None,No necessary in-game text,None,25,(Not best with any number),1252,6.50,1.28,148579
Anomia,1450,2010,Pattern Recognition,"Party Game, Real-time, Word Game",Party Games,30 minutes,10 and up,10 and up,None,Unplayable in another language,2010 Mensa Select Winner,36,Best with 5 players,819,6.71,1.37,77899
Ancient Terrible Things,1451,2014,"Dice Rolling, Hand Management, Press Your Luck, Set Collection","Dice, Horror, Mythology","Strategy Games, Thematic Games",60 minutes,14 and up,8 and up,"Ancient Terrible Things: The Lost Charter, Ancient Terrible Things: Undead Wizard Promo Card",Moderate in-game text - needs crib sheet or paste ups,None,24,(Not best with any number),458,7.18,1.20,72385
Polarity,1452,1986,None,"Abstract Strategy, Action / Dexterity",Abstract Games,20 minutes,8 and up,8 and up,None,No necessary in-game text,2005 Origins Awards Vanguard Innovative Game Award Winner,24,Best with 2 players,1537,6.46,1.47,128379
Shanghaien,1453,2008,"Dice Rolling, Set Collection",Pirates,Family Games,20 minutes,8 and up,8 and up,"Shanghaien: Crazy Captain, Shanghaien: Extrakarte 1, Shanghaien: Extrakarte 2, Shanghaien: Extrakarte 3",No necessary in-game text,"2008 Golden Geek Best 2-Player Board Game Nominee, 2009 Golden Geek Best 2-Player Board Game Nominee",2,Best with 2 players,888,6.65,1.15,50435
The Ares Project,1454,2011,"Dice Rolling, Hand Management, Rock-Paper-Scissors, Secret Unit Deployment","Card Game, Fighting, Science Fiction",Strategy Games,60 minutes,13 and up,12 and up,None,Moderate in-game text - needs crib sheet or paste ups,None,24,Best with 2 players,521,7.01,1.53,197483
Streetcar,1455,1995,"Route/Network Building, Tile Placement","Racing, Trains, Transportation","Family Games, Strategy Games",60 minutes,10 and up,8 and up,None,No necessary in-game text,"1995 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 1995 Spiel des Jahres Recommended",25,(Not best with any number),1263,6.48,1.24,72673
El Gaucho,1456,2014,"Dice Rolling, Set Collection, Worker Placement","Animals, Farming","Family Games, Strategy Games",60 minutes,10 and up,10 and up,Brettspiel Adventskalender 2015,No necessary in-game text,None,24,(Not best with any number),578,6.89,1.02,36957
Dead Men Tell No Tales,1457,2015,"Action Point Allowance System, Co-operative Play, Modular Board, Variable Player Powers","Dice, Exploration, Pirates",Thematic Games,6075 minutes,13 and up,10 and up,Dead Men Tell No Tales: Camille E.N. Promo Card,Some necessary text - easily memorized or small crib sheet,None,25,Best with 3 players,435,7.46,1.32,58897
Praetor,1458,2014,"Modular Board, Tile Placement, Variable Player Powers, Worker Placement","Ancient, City Building, Economic",Strategy Games,75 minutes,12 and up,12 and up,Praetor: PromoPack,No necessary in-game text,None,25,(Not best with any number),668,6.81,1.36,96372
Get Bit!,1459,2007,"Hand Management, Player Elimination, Simultaneous Action Selection","Animals, Bluffing, Racing",Family Games,20 minutes,7 and up,6 and up,"Get Bit! Additional Player Expansion, Get Bit! Dolphin Die Expansion, Get Bit! Sharkspansion, Get Bit! Squid Die Expansion",No necessary in-game text,"2011 Origins Awards Best Family, Party or Childrens Game Nominee, 2011 Origins Awards Best Family, Party or Childrens Game Winner, 2013 As d'Or - Jeu de l'Anne Nominee",36,Best with 56 players,3400,6.27,1.21,150080
Cruel Necessity,1460,2013,"Action Point Allowance System, Campaign / Battle Card Driven, Point to Point Movement","Civil War, Pike and Shot, Political, Religious",Wargames,60 minutes,13 and up,12 and up,None,Moderate in-game text - needs crib sheet or paste ups,None,1,Best with 1 players,276,7.82,1.22,84089
Pinochle,1461,1904,"Auction/Bidding, Trick-taking",Card Game,Family Games,45 minutes,10 and up,10 and up,None,No necessary in-game text,None,24,Best with 4 players,711,6.79,1.73,32723
Khronos,1462,2006,"Area Control / Area Influence, Hand Management, Tile Placement","City Building, Fantasy, Medieval, Territory Building",Strategy Games,90 minutes,10 and up,12 and up,None,No necessary in-game text,2008 Games Magazine Best New Advanced Strategy Game Winner,25,Best with 4 players,1522,6.42,1.46,153861
Resident Evil Deck Building Game,1463,2010,"Card Drafting, Deck / Pool Building, Variable Player Powers","Card Game, Horror, Video Game Theme, Zombies",Customizable Games,30 minutes,13 and up,12 and up,"Resident Evil Deck Building Game: Ada Wong Foil Promo, Resident Evil Deck Building Game: Albert Wesker Foil Promo, Resident Evil Deck Building Game: Albert Wesker GenCon Promo, Resident Evil Deck Building Game: Alyssa Ashcroft Promo",Some necessary text - easily memorized or small crib sheet,None,14,Best with 4 players,1284,6.58,1.63,211913
Rum & Pirates,1464,2006,"Action Point Allowance System, Dice Rolling, Modular Board","Dice, Miniatures, Pirates",Family Games,60 minutes,9 and up,8 and up,None,No necessary in-game text,"2006 Kinderspielexperten ""8-to-13-year-olds"" Nominee, 2007 Golden Geek Best Family Board Game Nominee",25,Best with 4 players,1477,6.44,1.30,117203
Escape from Atlantis,1465,1986,Modular Board,"Adventure, Nautical",Family Games,60 minutes,8 and up,8 and up,None,No necessary in-game text,None,24,Best with 4 players,1052,6.56,1.23,98841
Fische Fluppen Frikadellen,1466,2002,None,Economic,Strategy Games,90 minutes,10 and up,10 and up,None,No necessary in-game text,2003 Spiel des Jahres Recommended,25,Best with 6+ players,878,6.63,1.31,68318
Tahuantinsuyu,1467,2004,"Crayon Rail System, Route/Network Building","Civilization, Territory Building, Transportation",Strategy Games,180 minutes,12 and up,14 and up,None,Moderate in-game text - needs crib sheet or paste ups,"2004 International Gamers Awards - General Strategy, Multi-player Nominee, 2005 Games Magazine Best New Advanced Strategy Game Winner",34,Best with 4 players,391,7.19,1.38,62957
Havoc: The Hundred Years War,1468,2005,"Card Drafting, Hand Management","Bluffing, Card Game, Medieval",Strategy Games,60 minutes,10 and up,10 and up,"Havoc Expansion: John of Gaunt, Havoc Expansion: The Character Cards",Some necessary text - easily memorized or small crib sheet,2006 Fairplay  la carte Winner,26,Best with 5 players,723,6.74,1.21,73100
Coyote,1469,2003,None,"Bluffing, Card Game, Deduction, Party Game",Party Games,2030 minutes,10 and up,10 and up,None,No necessary in-game text,"2004 Fairplay  la carte Winner, 2004 Japan Boardgame Prize Best Foreign Game for Beginners Nominee, 2004 Spiel des Jahres Recommended",36,Best with 6 players,901,6.61,1.23,50319
Bargain Hunter,1470,1998,Trick-taking,Card Game,"Family Games, Strategy Games",60 minutes,10 and up,10 and up,None,No necessary in-game text,1998 Fairplay  la carte Winner,34,Best with 3 players,617,6.81,1.23,57395
Masques,1471,2010,"Area Control / Area Influence, Card Drafting, Hand Management, Memory","Card Game, Political, Renaissance",Family Games,45 minutes,13 and up,8 and up,None,No necessary in-game text,None,24,Best with 34 players,905,6.63,1.31,86825
Kingdom of Solomon,1472,2012,"Area Control / Area Influence, Area Enclosure, Commodity Speculation, Route/Network Building","Ancient, City Building, Economic, Religious",Strategy Games,60 minutes,12 and up,10 and up,"Kingdom of Solomon Promo: Levite Camp, Kingdom of Solomon: Chronicles of the King",Some necessary text - easily memorized or small crib sheet,None,24,Best with 4 players,464,7.05,1.09,68668
Battle For Souls,1473,2013,"Deck / Pool Building, Hand Management, Partnerships, Press Your Luck","Card Game, Religious",Thematic Games,60 minutes,14 and up,12 and up,Battle For Souls: Promo Card Pack,Moderate in-game text - needs crib sheet or paste ups,2013 Golden Geek Best 2-Player Board Game Nominee,14,Best with 2 players,421,7.37,1.52,88942
Castle Dice,1474,2013,"Dice Rolling, Set Collection","Dice, Medieval",Family Games,45 minutes,10 and up,8 and up,"Castle Dice: More Castles!, Castle Dice: More Castles!  Kickstarter Stretch Goal Rewards",Some necessary text - easily memorized or small crib sheet,None,14,Best with 4 players,637,6.83,1.38,55000
Quebec 1759,1475,1972,"Dice Rolling, Point to Point Movement, Secret Unit Deployment","Age of Reason, Wargame",Wargames,60 minutes,12 and up,10 and up,None,No necessary in-game text,None,2,Best with 2 players,557,6.94,1.18,86469
Myth,1476,2014,"Co-operative Play, Dice Rolling, Grid Movement, Hand Management","Adventure, Fantasy, Miniatures",Thematic Games,120 minutes,12 and up,12 and up,"MERCS: Recon  Blood Contagion, Myth: 'Who Brought Jokerman?' Promo, Myth: Agents of Darkness, Myth: Blackwall Warrens",Extensive use of text - massive conversion needed to be playable,None,25,Best with 4 players,927,6.82,2.43,894349
Gobblet,1477,2000,"Pattern Building, Pattern Recognition","Abstract Strategy, Memory",Abstract Games,20 minutes,7 and up,8 and up,None,No necessary in-game text,None,2,Best with 2 players,1131,6.55,1.24,90705
"Artifacts, Inc.",1478,2015,"Area Control / Area Influence, Card Drafting, Dice Rolling, Worker Placement",Print & Play,"Family Games, Strategy Games",60 minutes,13 and up,10,None,Moderate in-game text - needs crib sheet or paste ups,None,24,(Not best with any number),478,7.02,1.19,52034
Nightfall: The Coldest War,1479,2012,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Fantasy, Fighting, Horror",Strategy Games,45 minutes,12 and up,12 and up,"Nightfall: ""Ghost One"" Promo, Nightfall: ""Shadow Seven"" Promo, Nightfall: Ahmad Hassan Promo, Nightfall: Bloated Corpse Promo",Extensive use of text - massive conversion needed to be playable,None,25,"Best with 2, 4 players",312,7.48,1.44,30147
Russian Front,1480,1985,"Dice Rolling, Hex-and-Counter, Simulation","Wargame, World War II",Wargames,1200 minutes,12 and up,14 and up,None,Some necessary text - easily memorized or small crib sheet,None,2,Best with 2 players,520,7.11,1.56,80576
Ice Flow,1481,2008,"Point to Point Movement, Tile Placement","Adventure, Animals, Puzzle, Racing","Family Games, Strategy Games",45 minutes,11 and up,10 and up,None,No necessary in-game text,2008 UK Games Expo Best Boardgame Winner,24,Best with 4 players,1243,6.49,1.19,86246
Colonia,1482,2009,"Auction/Bidding, Set Collection, Voting, Worker Placement","Economic, Medieval",Strategy Games,120 minutes,12 and up,12 and up,None,Some necessary text - easily memorized or small crib sheet,None,36,Best with 4 players,955,6.58,1.50,136488
Carcassonne: Gold Rush,1483,2014,"Area Control / Area Influence, Tile Placement",American West,,35 minutes,8 and up,6 and up,Carcassonne: Goldrausch  Der Sheriff,No necessary in-game text,None,25,Best with 34 players,372,7.30,1.04,34595
Keltis: Das Orakel,1484,2010,"Hand Management, Set Collection","Card Game, Racing","Family Games, Strategy Games",30 minutes,10 and up,8 and up,None,No necessary in-game text,None,24,Best with 34 players,476,7.02,1.19,32685
Age of War,1485,2014,"Dice Rolling, Set Collection","Dice, Medieval",Family Games,20 minutes,14 and up,8 and up,Rise of the Daimyo (fan expansion for Age of War),No necessary in-game text,None,26,Best with 4 players,1632,6.41,1.24,82662
Ruse & Bruise,1486,2006,None,"Card Game, Medieval",Family Games,30 minutes,8 and up,10 and up,De Cape & d'pe: La mission secrte,Moderate in-game text - needs crib sheet or paste ups,"2007 Fairplay  la carte Winner, 2007 Golden Geek Best Card Game Nominee, 2008 JoTa Best Card Game Nominee",26,(Not best with any number),1451,6.45,1.27,80686
Antics!,1487,2010,"Action Point Allowance System, Pick-up and Deliver, Route/Network Building, Tile Placement","Animals, Exploration, Transportation",Strategy Games,60 minutes,10 and up,12 and up,None,No necessary in-game text,None,34,Best with 4 players,471,7.02,1.14,61934
Ultimate Werewolf: Deluxe Edition,1488,2014,"Partnerships, Player Elimination, Role Playing, Variable Player Powers","Bluffing, Card Game, Deduction, Horror",,30 minutes,8 and up,10 and up,"Ultimate Werewolf Artifacts, Ultimate Werewolf: Classic Movie Monsters, Ultimate Werewolf: Night Terrors, Ultimate Werewolf: Urban Legends",Some necessary text - easily memorized or small crib sheet,2014 Golden Geek Best Party Board Game Nominee,575,Best with 1121 players,306,7.71,1.51,30879
DungeonQuest Revised Edition,1489,2014,"Area Movement, Card Drafting, Dice Rolling, Player Elimination","Adventure, Exploration, Fantasy, Medieval",,60 minutes,14 and up,8 and up,None,Some necessary text - easily memorized or small crib sheet,None,14,Best with 34 players,378,7.39,1.43,58608
Wise and Otherwise,1490,1997,"Paper-and-Pencil, Simultaneous Action Selection, Voting","Bluffing, Party Game",Party Games,45 minutes,12 and up,12 and up,None,Unplayable in another language,None,26,Best with 6 players,743,6.74,1.46,71199
PAX,1491,2011,"Area Control / Area Influence, Card Drafting, Hand Management, Set Collection","Ancient, Card Game",Strategy Games,30 minutes,10 and up,12 and up,PAX: Nocturnus,No necessary in-game text,None,14,Best with 4 players,588,6.84,1.03,57295
Call of Cthulhu: Collectible Card Game,1492,2004,"Card Drafting, Hand Management","Card Game, Collectible Components, Horror, Novel-based",Customizable Games,30 minutes,12 and up,12 and up,None,Extensive use of text - massive conversion needed to be playable,None,2,Best with 2 players,615,6.93,1.53,102295
The Mines of Zavandor,1493,2010,"Auction/Bidding, Trading",Fantasy,Strategy Games,4590 minutes,10 and up,10 and up,Die Minen von Zavandor: Die verlorenen Spruchrollen,Moderate in-game text - needs crib sheet or paste ups,None,24,Best with 4 players,765,6.67,1.17,83597
Wicked Witches Way,1494,2006,"Card Drafting, Dice Rolling, Memory, Pattern Recognition","Dice, Fantasy, Humor, Memory",Family Games,30 minutes,8 and up,8 and up,"Flinke Feger: Die magischen Pentagramme, Flinke Feger: Gitty Geisterhand",Some necessary text - easily memorized or small crib sheet,"2006 Tric Trac Nominee, 2007 As d'Or - Jeu de l'Anne Nominee, 2007 As d'Or - Jeu de l'Anne Winner, 2007 Golden Geek Best Children's Board Game Nominee",26,Best with 45 players,1253,6.47,1.24,71761
Hearts and Minds: Vietnam 1965-1975,1495,2010,"Area Movement, Campaign / Battle Card Driven, Dice Rolling, Simulation","Political, Vietnam War, Wargame",Wargames,180 minutes,12 and up,12 and up,None,Extensive use of text - massive conversion needed to be playable,2010 Charles S. Roberts Best Post-WW2 Era Board Wargame Nominee,2,Best with 2 players,279,7.67,1.32,114076
Star Trek: Expeditions,1496,2011,"Co-operative Play, Variable Player Powers","Adventure, Movies / TV / Radio theme, Science Fiction, Space Exploration",Thematic Games,60 minutes,14 and up,10 and up,"Star Trek: Expeditions  Expansion Set, Star Trek: Expeditions  Tribbles! Promo",Moderate in-game text - needs crib sheet or paste ups,None,14,(Not best with any number),1146,6.54,1.37,202072
Alcatraz: The Scapegoat,1497,2011,"Action Point Allowance System, Area Movement, Co-operative Play, Modular Board","Bluffing, Mafia, Negotiation",Thematic Games,4560 minutes,15 and up,12 and up,"Alcatraz: The Scapegoat  Maximum Security, Alcatraz: The Scapegoat  Wrong Plan",Some necessary text - easily memorized or small crib sheet,None,34,Best with 4 players,1073,6.55,1.44,108108
